,top1,top10,top2,top3,top4,top5,top6,top7,top8,top9
0,0.925,0.28500000000000003,0.7625000000000001,0.6666666666666666,0.5375,0.45000000000000007,0.3916666666666666,0.35357142857142854,0.325,0.3027777777777778
1,0.44833333333333336,0.8920833333333333,0.6291666666666667,0.7529166666666667,0.7749999999999999,0.7858333333333332,0.8166666666666667,0.8370833333333334,0.8541666666666666,0.8724999999999999
2,0.5424621212121212,0.3848143523143523,0.6136694677871148,0.6336217948717948,0.5664494569757728,0.5091468253968253,0.4689411976911977,0.44067661913250145,0.41760700652005,0.3992861086282139
3,0.003333333333333333,0.5198772061272061,0.029772727272727274,0.06594363969363969,0.12781385281385282,0.19404012654012653,0.26087246087246085,0.3253650516150516,0.389507992007992,0.45384032634032634
4,0.925,0.9416666666666667,0.9375,0.9375,0.9375,0.9375,0.9416666666666667,0.9416666666666667,0.9416666666666667,0.9416666666666667
5,0.925,0.924884225258469,0.95,0.95,0.9475117208394918,0.9475117208394918,0.9571830410203552,0.9465251224819816,0.9372937948206419,0.9286921747705557
6,0.71,0.8764936625874127,0.7962784090909091,0.8533253205128204,0.8586298076923079,0.8580820221445221,0.8642009032634033,0.8677957459207459,0.8705514277389277,0.8735722610722612
